model,date,price_brl,launch_date
iPhone 13 128GB,2021-09-26,6999,2021-09-24
iPhone 13 128GB,2021-10-03,6988,2021-09-24
iPhone 13 128GB,2021-10-10,6948,2021-09-24
iPhone 13 128GB,2021-10-17,6916,2021-09-24
iPhone 13 128GB,2021-10-24,6878,2021-09-24
iPhone 13 128GB,2021-10-31,6873,2021-09-24
iPhone 13 128GB,2021-11-07,6873,2021-09-24
iPhone 13 128GB,2021-11-14,6824,2021-09-24
iPhone 13 128GB,2021-11-21,6808,2021-09-24
iPhone 13 128GB,2021-11-28,6784,2021-09-24
iPhone 13 128GB,2021-12-05,6747,2021-09-24
iPhone 13 128GB,2021-12-12,6735,2021-09-24
iPhone 13 128GB,2021-12-19,6720,2021-09-24
iPhone 13 128GB,2021-12-26,6718,2021-09-24
iPhone 13 128GB,2022-01-02,6708,2021-09-24
iPhone 13 128GB,2022-01-09,6665,2021-09-24
iPhone 13 128GB,2022-01-16,6660,2021-09-24
iPhone 13 128GB,2022-01-23,6616,2021-09-24
iPhone 13 128GB,2022-01-30,6600,2021-09-24
iPhone 13 128GB,2022-02-06,6579,2021-09-24
iPhone 13 128GB,2022-02-13,6568,2021-09-24
iPhone 13 128GB,2022-02-20,6564,2021-09-24
iPhone 13 128GB,2022-02-27,6515,2021-09-24
iPhone 13 128GB,2022-03-06,6477,2021-09-24
iPhone 13 128GB,2022-03-13,6453,2021-09-24
iPhone 13 128GB,2022-03-20,6430,2021-09-24
iPhone 13 128GB,2022-03-27,6396,2021-09-24
iPhone 13 128GB,2022-04-03,6375,2021-09-24
iPhone 13 128GB,2022-04-10,6375,2021-09-24
iPhone 13 128GB,2022-04-17,6330,2021-09-24
iPhone 13 128GB,2022-04-24,6304,2021-09-24
iPhone 13 128GB,2022-05-01,6267,2021-09-24
iPhone 13 128GB,2022-05-08,6221,2021-09-24
iPhone 13 128GB,2022-05-15,6199,2021-09-24
iPhone 13 128GB,2022-05-22,6179,2021-09-24
iPhone 13 128GB,2022-05-29,6153,2021-09-24
